cardID,adm_eng,cd_type,region,capital,tl_towns,popl,popl_dns,eth_tl
57,Moscow,province,Great Russian provinces,Moscow,13," 1,374,700 ",110,1
58,Ryazan,province,Great Russian provinces,Riazan,12," 1,365,900 ",84,3
60,Vladimir,province,Great Russian provinces,Vladimir,13," 1,246,500 ",68,1
21,Kingdom of Poland,region,Kingdom of Poland,Avgustov,5," 4,857,700 ",98,5
22,Avgustov,province,Kingdom of Poland,Suvalki,6," 547,319 ",80,5
23,Plotsk,province,Kingdom of Poland,Plotsk,6," 619,907 ",96,5
24,Warsaw,province,Kingdom of Poland,Warsaw,12," 1,555,959 ",109,5
25,Radom,province,Kingdom of Poland,Radom,8," 954,084 ",102,5
26,Lublin,province,Kingdom of Poland,Liublin,8," 1,013,434 ",84,5
49,Kazan,province,Lower Volga provinces,Kazan,12," 1,342,900 ",56,6
50,Simbirsk,province,Lower Volga provinces,Simbirsk,8," 1,044,782 ",59,4
51,Saratov,province,Lower Volga provinces,Saratov,10," 1,330,700 ",30,11
52,Samara,province,Lower Volga provinces,Samara,7," 1,115,963 ",22,6
53,Astrakhan,province,Lower Volga provinces,Astrakhan,5," 344,400 ",5,14
33,Chernigov,province,Malorossian provinces,Chernigov,15," 1,430,000 ",67,5
40,Kharkov,province,Malorossian provinces,Kharkov,11," 1,467,400 ",70,2
32,Poltava,province,Malorussian provinces,Poltava,15," 1,783,000 ",93,3
35,Bessarabia,province,New Russian provinces,Kishinev,9," 792,000 ",43,10
37,Kherson,province,New Russian provinces,Kherson,6," 842,400 ",30,11
38,Tavrida,province,New Russian provinces,Simferopol,8," 572,200 ",22,6
39,Yekaterinoslav,province,New Russian provinces,Ekaterinoslav,9," 870,100 ",34,12
42,Lands of the Don Cossack Host,province,New Russian provinces,Novocherkask,7," 704,300 ",11,6
44,Lands of the Black Sea Cossack Host,province,New Russian provinces,Ekaterinodar,3," 125,400 ",9,1
1,Olonetsk,province,Northeastern provinces,Petrozavodsk,7," 263,100 ",5,2
62,Vyatka,province,Northeastern provinces,Viatka,11," 1,662,800 ",31,6
63,Perm,province,Northeastern provinces,Perm,12," 1,637,700 ",13,6
65,Vologda,province,Northeastern provinces,Vologda,10," 822,200 ",6,1
66,Arkhangelsk,province,Northeastern provinces,Arkhangelsk,8," 253,000 ",1,7
2,Novgorod,province,Northwestern provinces,Novgorod,11," 907,900 ",19,4
3,Pskov,province,Northwestern provinces,Pskov,8," 775,800 ",45,3
4,Saint Petersburg,province,Northwestern provinces,Saint Petersburg,8," 643,700 ",31,2
64,Orenburg,province,Orenburg region,Ufa,9," 1,434,489 ",10,8
30,Volhynia,province,Right Bank provinces,Zhitomir,12," 1,445,500 ",47,6
31,Kiev,province,Right Bank provinces,Kiev,12," 1,605,800 ",83,2
36,Kamenets-Podol'sk,province,Right Bank provinces,Kamenets Podolsk,12," 1,703,000 ",103,9
74,Russian American Company Territories,province,Russian America,Sitka,0," 19,028 ",0,6
69,Yenisei,province,Siberia,Krasnoiarsk,6," 18,159 ",0,5
70,Irkutsk,province,Siberia,Irkutsk,3," 17,975 ",0,2
71,Yakutsk,province,Siberia,Yakutsk,6, -   ,0,5
72,Zabaikal,province,Siberia,Chita,3, -   ,0,3
73,Chukotka and Kamchatka,province,Siberia,Nizhnekamchatsk,0, -   ,0,7
45,Tver,province,Upper Volga provinces,Tver,12," 1,327,700 ",51,2
46,Yaroslav,province,Upper Volga provinces,Yaroslavl',10," 1,008,100 ",72,3
47,Kostroma,province,Upper Volga provinces,Kostroma,12," 1,054,600 ",33,3
48,Nizhegorod,province,Upper Volga provinces,Nizhnii Novgorod,11," 1,178,200 ",63,5
18,Koven,province,Western provinces,Kovno,12," 915,500 ",56,7
19,Vilensk,province,Western provinces,Vilna,7," 863,700 ",53,4
20,Grodno,province,Western provinces,Grodno,9," 907,100 ",62,5
29,Minsk,province,Western provinces,Minsk,9," 1,046,400 ",30,7
67,Tobolsk,province,Western Siberian provinces,Tobolsk,8," 839,354 ",2,5
68,Tomsk,province,Western Siberian provinces,Tomsk,6," 564,602 ",2,5
